סמל ישוב,סמל קלפי,בוחרים,מצביעים,פסולים,כשרים,שם ישוב,אמת,ב,ג,ד,ו,ז,זך,זנ,ט,יש,כן,ל,ם,מחל,מרצ,נ,נץ,עם,ף,פה,צ,צף,ק,קך,קנ,קץ,רק,שס
9300,10,804,563,5,558,זכרון יעקב,52,16,66,1,0,0,0,1,0,33,14,23,26,180,11,2,5,0,0,0,0,1,0,1,8,0,3,115
9300,20,495,365,3,362,זכרון יעקב,129,6,0,0,1,0,0,0,0,78,0,2,4,74,45,2,2,0,0,0,2,0,0,0,10,0,3,4
9300,30,785,566,5,561,זכרון יעקב,164,31,5,1,1,0,0,1,0,87,1,11,5,158,69,1,2,0,0,0,0,0,0,0,11,0,5,8
9300,40,775,560,4,556,זכרון יעקב,186,2,2,0,2,0,0,0,0,100,0,7,5,169,61,0,1,0,0,1,0,0,0,0,10,0,2,8
9300,50,476,351,4,347,זכרון יעקב,94,14,2,0,0,0,0,0,0,92,5,5,3,73,50,0,1,0,0,0,2,0,0,0,4,0,1,1
9300,60,518,370,5,365,זכרון יעקב,43,27,6,0,0,0,0,0,1,15,3,7,18,158,11,0,3,1,0,0,1,0,0,0,6,1,2,62
9300,70,556,399,5,394,זכרון יעקב,95,11,2,0,0,0,0,1,0,67,0,12,8,127,38,3,1,1,0,0,0,0,0,0,5,0,5,18
9300,80,785,601,8,593,זכרון יעקב,101,17,150,0,1,0,0,0,0,62,3,6,6,106,43,0,6,0,0,0,0,0,0,0,5,0,3,84
9300,90,740,549,1,548,זכרון יעקב,157,15,5,0,0,0,0,0,1,138,4,6,4,137,60,3,3,1,0,2,0,0,0,0,6,0,2,4
9300,100,734,572,6,566,זכרון יעקב,49,17,135,0,0,0,0,0,0,75,4,12,12,106,35,2,8,0,0,0,0,0,0,0,2,0,2,107
9300,110,816,571,5,566,זכרון יעקב,116,18,49,0,0,0,0,0,0,91,1,8,4,191,45,0,3,0,0,0,6,0,0,0,15,0,4,15
9300,120,751,593,1,592,זכרון יעקב,164,8,7,0,0,0,0,0,0,170,0,8,5,137,68,0,2,0,0,0,0,0,0,1,13,0,4,5
9300,130,491,376,2,374,זכרון יעקב,109,16,1,0,0,0,0,0,0,69,3,9,3,113,38,1,2,0,0,0,0,0,0,0,4,0,3,3
9300,160,539,361,5,356,זכרון יעקב,27,9,1,0,0,0,0,4,0,23,3,7,26,147,11,2,4,0,0,1,0,0,0,0,2,0,2,87
9400,10,650,483,4,479,יהוד,88,17,2,0,0,0,0,0,0,80,2,11,12,192,31,2,15,0,0,0,0,0,0,0,8,0,0,19
9400,20,609,432,5,427,יהוד,54,14,12,0,1,0,0,0,0,56,0,9,17,202,11,0,7,0,0,0,0,0,0,0,10,0,0,34
9400,30,712,503,7,496,יהוד,75,10,13,0,1,0,0,1,0,69,6,17,25,210,20,1,1,0,0,0,1,0,0,0,7,0,6,33
9400,40,512,348,11,337,יהוד,29,4,4,0,0,0,0,1,0,23,10,9,14,173,6,0,2,0,0,0,2,0,0,0,0,0,1,59
9400,50,630,434,7,427,יהוד,53,28,9,0,0,0,0,0,0,34,8,8,17,206,19,0,3,0,0,0,0,0,0,0,4,0,2,36
9400,60,613,396,4,392,יהוד,39,10,4,0,0,0,0,0,0,76,12,13,8,186,4,3,9,1,0,0,0,0,0,0,3,0,1,23
9400,70,573,435,6,429,יהוד,119,9,3,0,0,0,0,0,0,90,1,12,4,125,50,0,1,0,0,0,0,0,0,0,8,0,1,6
9400,80,682,487,9,478,יהוד,74,6,9,0,0,1,0,0,0,60,12,16,18,220,13,2,6,1,0,0,0,0,0,0,3,0,0,37
9400,90,436,304,4,300,יהוד,41,11,4,0,0,0,0,0,0,51,0,8,10,138,19,0,1,0,0,0,0,0,0,0,2,0,1,14
9400,100,522,349,6,343,יהוד,19,11,4,0,0,0,0,2,0,33,9,4,7,196,6,0,4,0,0,0,0,0,0,0,4,0,0,44
9400,110,427,274,4,270,יהוד,45,11,4,0,0,0,0,0,0,35,0,6,15,118,7,0,5,0,0,0,0,0,0,0,3,0,2,19
9400,120,431,297,6,291,יהוד,13,8,8,0,0,0,0,0,0,25,16,5,10,134,1,0,7,0,0,0,0,0,0,0,3,0,1,60
9400,130,559,386,2,384,יהוד,119,10,3,0,0,0,0,0,2,86,4,2,12,94,28,1,2,0,0,0,0,0,0,0,7,0,1,13
9400,140,576,396,12,384,יהוד,36,16,5,0,0,0,0,0,0,44,22,21,12,179,12,0,4,0,0,0,0,0,0,0,3,0,2,28
9400,150,522,372,4,368,יהוד,40,11,4,0,0,0,0,0,0,60,8,8,7,162,18,1,2,1,0,1,0,0,0,0,2,0,5,38
9400,160,406,270,1,269,יהוד,22,5,8,0,0,0,0,0,0,25,5,8,16,125,3,0,4,0,0,0,0,0,0,0,3,0,0,45
9400,170,686,497,10,487,יהוד,41,12,2,0,0,0,0,1,0,66,6,17,8,268,16,0,4,2,0,0,0,0,0,0,5,0,1,38
9400,180,795,584,8,576,יהוד,49,22,9,0,0,0,0,1,0,88,70,24,12,226,21,0,3,1,1,0,0,1,0,0,6,0,0,42
9400,190,549,391,1,390,יהוד,98,5,2,0,0,0,0,0,0,71,0,8,5,142,28,0,3,0,0,1,0,0,0,0,8,0,1,18
9400,200,683,570,3,567,יהוד,174,1,0,0,0,1,0,0,0,129,0,6,3,168,69,0,1,0,0,0,0,1,0,0,4,0,4,6
9400,210,640,444,12,432,יהוד,60,13,5,0,0,0,0,0,0,51,2,4,28,202,15,4,3,0,0,0,0,0,0,0,4,0,1,40
9400,220,482,356,3,353,יהוד,71,3,7,0,0,0,0,1,0,71,4,5,5,142,19,0,2,1,0,0,0,0,0,0,6,0,0,16
